x 	 y 	 z 	 azimuth 	 dip 	 irec
-9000.000000 	 0.000000 	 1000.000000 	 0.000000 	 0.000000 	 1
-8775.000000 	 0.000000 	 1015.643372 	 0.000000 	 0.000000 	 2
-8550.000000 	 0.000000 	 1030.901611 	 0.000000 	 0.000000 	 3
-8325.000000 	 0.000000 	 1045.399048 	 0.000000 	 0.000000 	 4
-8100.000000 	 0.000000 	 1058.778442 	 0.000000 	 0.000000 	 5
-7875.000000 	 0.000000 	 1070.710693 	 0.000000 	 0.000000 	 6
-7650.000000 	 0.000000 	 1080.901733 	 0.000000 	 0.000000 	 7
-7425.000000 	 0.000000 	 1089.100586 	 0.000000 	 0.000000 	 8
-7200.000000 	 0.000000 	 1095.105591 	 0.000000 	 0.000000 	 9
-6975.000000 	 0.000000 	 1098.768799 	 0.000000 	 0.000000 	 10
-6750.000000 	 0.000000 	 1100.000000 	 0.000000 	 0.000000 	 11
-6525.000000 	 0.000000 	 1098.768799 	 0.000000 	 0.000000 	 12
-6300.000000 	 0.000000 	 1095.105713 	 0.000000 	 0.000000 	 13
-6075.000000 	 0.000000 	 1089.100708 	 0.000000 	 0.000000 	 14
-5850.000000 	 0.000000 	 1080.901733 	 0.000000 	 0.000000 	 15
-5625.000000 	 0.000000 	 1070.710693 	 0.000000 	 0.000000 	 16
-5400.000000 	 0.000000 	 1058.778564 	 0.000000 	 0.000000 	 17
-5175.000000 	 0.000000 	 1045.399048 	 0.000000 	 0.000000 	 18
-4950.000000 	 0.000000 	 1030.901733 	 0.000000 	 0.000000 	 19
-4725.000000 	 0.000000 	 1015.643433 	 0.000000 	 0.000000 	 20
-4500.000000 	 0.000000 	 1000.000000 	 0.000000 	 0.000000 	 21
-4275.000000 	 0.000000 	 984.356567 	 0.000000 	 0.000000 	 22
-4050.000000 	 0.000000 	 969.098328 	 0.000000 	 0.000000 	 23
-3825.000000 	 0.000000 	 954.600952 	 0.000000 	 0.000000 	 24
-3600.000000 	 0.000000 	 941.221497 	 0.000000 	 0.000000 	 25
-3375.000000 	 0.000000 	 929.289368 	 0.000000 	 0.000000 	 26
-3150.000000 	 0.000000 	 919.098328 	 0.000000 	 0.000000 	 27
-2925.000000 	 0.000000 	 910.899353 	 0.000000 	 0.000000 	 28
-2700.000000 	 0.000000 	 904.894348 	 0.000000 	 0.000000 	 29
-2475.000000 	 0.000000 	 901.231140 	 0.000000 	 0.000000 	 30
-2250.000000 	 0.000000 	 900.000000 	 0.000000 	 0.000000 	 31
-2025.000000 	 0.000000 	 901.231140 	 0.000000 	 0.000000 	 32
-1800.000000 	 0.000000 	 904.894348 	 0.000000 	 0.000000 	 33
-1575.000000 	 0.000000 	 910.899353 	 0.000000 	 0.000000 	 34
-1350.000000 	 0.000000 	 919.098328 	 0.000000 	 0.000000 	 35
-1125.000000 	 0.000000 	 929.289307 	 0.000000 	 0.000000 	 36
-900.000000 	 0.000000 	 941.221497 	 0.000000 	 0.000000 	 37
-675.000000 	 0.000000 	 954.600952 	 0.000000 	 0.000000 	 38
-450.000000 	 0.000000 	 969.098328 	 0.000000 	 0.000000 	 39
-225.000000 	 0.000000 	 984.356567 	 0.000000 	 0.000000 	 40
0.000000 	 0.000000 	 1000.000000 	 0.000000 	 0.000000 	 41
225.000000 	 0.000000 	 1015.643433 	 0.000000 	 0.000000 	 42
450.000000 	 0.000000 	 1030.901733 	 0.000000 	 0.000000 	 43
675.000000 	 0.000000 	 1045.399048 	 0.000000 	 0.000000 	 44
900.000000 	 0.000000 	 1058.778564 	 0.000000 	 0.000000 	 45
1125.000000 	 0.000000 	 1070.710693 	 0.000000 	 0.000000 	 46
1350.000000 	 0.000000 	 1080.901733 	 0.000000 	 0.000000 	 47
1575.000000 	 0.000000 	 1089.100708 	 0.000000 	 0.000000 	 48
1800.000000 	 0.000000 	 1095.105713 	 0.000000 	 0.000000 	 49
2025.000000 	 0.000000 	 1098.768799 	 0.000000 	 0.000000 	 50
2250.000000 	 0.000000 	 1100.000000 	 0.000000 	 0.000000 	 51
2475.000000 	 0.000000 	 1098.768799 	 0.000000 	 0.000000 	 52
2700.000000 	 0.000000 	 1095.105591 	 0.000000 	 0.000000 	 53
2925.000000 	 0.000000 	 1089.100708 	 0.000000 	 0.000000 	 54
3150.000000 	 0.000000 	 1080.901733 	 0.000000 	 0.000000 	 55
3375.000000 	 0.000000 	 1070.710693 	 0.000000 	 0.000000 	 56
3600.000000 	 0.000000 	 1058.778564 	 0.000000 	 0.000000 	 57
3825.000000 	 0.000000 	 1045.399048 	 0.000000 	 0.000000 	 58
4050.000000 	 0.000000 	 1030.901733 	 0.000000 	 0.000000 	 59
4275.000000 	 0.000000 	 1015.643433 	 0.000000 	 0.000000 	 60
4500.000000 	 0.000000 	 1000.000000 	 0.000000 	 0.000000 	 61
4725.000000 	 0.000000 	 984.356567 	 0.000000 	 0.000000 	 62
4950.000000 	 0.000000 	 969.098267 	 0.000000 	 0.000000 	 63
5175.000000 	 0.000000 	 954.600952 	 0.000000 	 0.000000 	 64
5400.000000 	 0.000000 	 941.221497 	 0.000000 	 0.000000 	 65
5625.000000 	 0.000000 	 929.289307 	 0.000000 	 0.000000 	 66
5850.000000 	 0.000000 	 919.098267 	 0.000000 	 0.000000 	 67
6075.000000 	 0.000000 	 910.899353 	 0.000000 	 0.000000 	 68
6300.000000 	 0.000000 	 904.894348 	 0.000000 	 0.000000 	 69
6525.000000 	 0.000000 	 901.231140 	 0.000000 	 0.000000 	 70
6750.000000 	 0.000000 	 900.000000 	 0.000000 	 0.000000 	 71
6975.000000 	 0.000000 	 901.231140 	 0.000000 	 0.000000 	 72
7200.000000 	 0.000000 	 904.894348 	 0.000000 	 0.000000 	 73
7425.000000 	 0.000000 	 910.899353 	 0.000000 	 0.000000 	 74
7650.000000 	 0.000000 	 919.098328 	 0.000000 	 0.000000 	 75
7875.000000 	 0.000000 	 929.289368 	 0.000000 	 0.000000 	 76
8100.000000 	 0.000000 	 941.221497 	 0.000000 	 0.000000 	 77
8325.000000 	 0.000000 	 954.601013 	 0.000000 	 0.000000 	 78
8550.000000 	 0.000000 	 969.098328 	 0.000000 	 0.000000 	 79
8775.000000 	 0.000000 	 984.356628 	 0.000000 	 0.000000 	 80
9000.000000 	 0.000000 	 1000.000000 	 0.000000 	 0.000000 	 81
