iTx 	 iRx    ichrec  ifreq 	 emf_real 	 emf_imag
1 	 1 	 1 	 1 	 -2.361689e-15 	 -2.412672e-15
1 	 2 	 1 	 1 	 -2.670644e-15 	 -3.161497e-15
1 	 3 	 1 	 1 	 -3.219462e-15 	 -4.010754e-15
1 	 4 	 1 	 1 	 -4.054948e-15 	 -4.924618e-15
1 	 5 	 1 	 1 	 -5.335265e-15 	 -5.902730e-15
1 	 6 	 1 	 1 	 -7.102338e-15 	 -6.768548e-15
1 	 7 	 1 	 1 	 -9.515246e-15 	 -7.370374e-15
1 	 8 	 1 	 1 	 -1.262705e-14 	 -7.509530e-15
1 	 9 	 1 	 1 	 -1.666281e-14 	 -7.023470e-15
1 	 10 	 1 	 1 	 -2.157854e-14 	 -5.116492e-15
1 	 11 	 1 	 1 	 -2.717489e-14 	 -1.649574e-15
1 	 12 	 1 	 1 	 -3.338988e-14 	 4.097407e-15
1 	 13 	 1 	 1 	 -4.015721e-14 	 1.280441e-14
1 	 14 	 1 	 1 	 -4.794956e-14 	 2.544345e-14
1 	 15 	 1 	 1 	 -5.561312e-14 	 4.384597e-14
1 	 16 	 1 	 1 	 -6.267555e-14 	 6.667499e-14
1 	 17 	 1 	 1 	 -6.946882e-14 	 9.494355e-14
1 	 18 	 1 	 1 	 -7.624520e-14 	 1.255446e-13
1 	 19 	 1 	 1 	 -8.249010e-14 	 1.539871e-13
1 	 20 	 1 	 1 	 -8.960834e-14 	 1.800335e-13
1 	 21 	 1 	 1 	 -9.849147e-14 	 2.050340e-13
1 	 22 	 1 	 1 	 -1.095149e-13 	 2.312087e-13
1 	 23 	 1 	 1 	 -1.227523e-13 	 2.602226e-13
1 	 24 	 1 	 1 	 -1.396800e-13 	 2.952528e-13
1 	 25 	 1 	 1 	 -1.630824e-13 	 3.437201e-13
1 	 26 	 1 	 1 	 -1.926788e-13 	 4.049332e-13
1 	 27 	 1 	 1 	 -2.313377e-13 	 4.962985e-13
1 	 28 	 1 	 1 	 -2.810509e-13 	 6.252218e-13
1 	 29 	 1 	 1 	 -3.356117e-13 	 8.300762e-13
1 	 30 	 1 	 1 	 -3.833200e-13 	 1.159863e-12
1 	 31 	 1 	 1 	 -4.001541e-13 	 1.673289e-12
1 	 32 	 1 	 1 	 -2.859961e-13 	 2.594664e-12
1 	 33 	 1 	 1 	 1.721055e-13 	 4.184903e-12
1 	 34 	 1 	 1 	 1.643977e-12 	 7.095739e-12
1 	 35 	 1 	 1 	 5.878701e-12 	 1.263970e-11
