iteration 	 relres
0 	 1.000000e+00
1 	 3.887577e-01
2 	 3.767729e-01
3 	 2.429257e-01
4 	 1.442961e-01
5 	 1.276348e-01
6 	 1.193862e-01
7 	 1.139732e-01
8 	 1.223718e-01
9 	 8.839702e-02
10 	 5.014785e-02
11 	 4.336136e-02
12 	 3.975424e-02
13 	 3.536752e-02
14 	 2.881824e-02
15 	 2.438837e-02
16 	 2.136655e-02
17 	 1.940375e-02
18 	 1.873546e-02
19 	 1.932444e-02
20 	 1.189298e-02
21 	 9.245544e-03
22 	 8.516890e-03
23 	 7.311435e-03
24 	 6.221676e-03
25 	 6.028536e-03
26 	 5.894416e-03
27 	 5.989504e-03
28 	 6.256215e-03
29 	 5.671148e-03
30 	 4.042732e-03
31 	 3.148738e-03
32 	 2.627955e-03
33 	 2.455052e-03
34 	 2.345556e-03
35 	 2.133161e-03
36 	 1.699670e-03
37 	 1.536539e-03
38 	 1.449180e-03
39 	 1.290141e-03
40 	 1.336494e-03
41 	 1.201129e-03
42 	 1.086310e-03
43 	 1.077842e-03
44 	 1.091986e-03
45 	 1.037693e-03
46 	 1.004372e-03
47 	 1.038086e-03
48 	 9.829910e-04
49 	 7.207954e-04
50 	 7.633121e-04
51 	 7.733902e-04
52 	 6.917289e-04
53 	 7.024264e-04
54 	 7.942573e-04
55 	 8.022528e-04
56 	 8.199836e-04
57 	 7.264744e-04
58 	 6.762330e-04
59 	 6.851899e-04
60 	 8.323309e-04
61 	 8.578198e-04
62 	 8.045164e-04
63 	 5.693783e-04
64 	 3.652414e-04
65 	 2.918033e-04
66 	 2.333160e-04
67 	 1.846536e-04
68 	 1.800956e-04
69 	 1.707350e-04
70 	 1.680190e-04
71 	 1.656997e-04
72 	 1.841665e-04
73 	 1.792886e-04
74 	 1.588647e-04
75 	 3.664226e-04
76 	 1.554046e-04
77 	 1.582047e-04
78 	 1.532662e-04
79 	 1.533274e-04
80 	 1.460358e-04
81 	 1.409171e-04
82 	 1.368022e-04
83 	 1.333883e-04
84 	 1.332916e-04
85 	 1.347377e-04
86 	 1.333475e-04
87 	 1.309228e-04
88 	 1.286072e-04
89 	 1.208992e-04
90 	 1.209627e-04
91 	 1.067182e-04
92 	 2.068541e-04
93 	 1.551450e-04
94 	 3.206884e-04
95 	 2.071021e-04
96 	 2.455213e-04
97 	 2.494331e-04
98 	 2.673253e-04
99 	 2.608647e-04
100 	 1.607767e-04
101 	 1.189198e-04
102 	 2.222927e-04
103 	 1.226773e-04
104 	 1.263812e-04
105 	 1.236670e-04
106 	 1.378228e-04
107 	 1.264523e-04
108 	 1.221270e-04
109 	 1.352608e-04
110 	 1.435156e-04
111 	 1.381530e-04
112 	 1.357393e-04
113 	 1.341408e-04
114 	 1.805204e-04
115 	 1.054195e-04
116 	 8.652207e-05
117 	 8.390625e-05
118 	 7.208544e-05
119 	 5.412219e-05
120 	 5.818833e-05
121 	 5.923662e-05
122 	 3.436812e-05
123 	 2.779670e-05
124 	 2.744452e-05
125 	 2.524601e-05
126 	 2.456078e-05
127 	 2.606405e-05
128 	 2.564534e-05
129 	 2.718656e-05
130 	 4.177512e-05
131 	 6.904274e-05
132 	 3.867278e-05
133 	 4.084765e-05
134 	 4.198552e-05
135 	 4.259166e-05
136 	 4.047831e-05
137 	 4.094854e-05
138 	 4.060775e-05
139 	 3.901269e-05
140 	 3.769322e-05
141 	 3.751531e-05
142 	 3.473318e-05
143 	 3.461012e-05
144 	 3.393644e-05
145 	 3.393626e-05
146 	 3.378602e-05
147 	 3.640632e-05
148 	 5.219461e-05
149 	 4.630688e-05
150 	 3.462175e-05
151 	 3.443265e-05
152 	 3.380020e-05
153 	 2.648259e-05
154 	 2.874743e-05
155 	 2.135853e-05
156 	 1.843584e-05
157 	 1.818719e-05
158 	 2.055284e-05
159 	 1.967546e-05
160 	 1.789243e-05
161 	 1.793229e-05
162 	 1.670192e-05
163 	 1.598176e-05
164 	 1.564802e-05
165 	 1.540592e-05
166 	 1.511098e-05
167 	 1.558664e-05
168 	 1.460799e-05
169 	 1.358792e-05
170 	 1.345129e-05
171 	 1.241873e-05
172 	 1.249783e-05
173 	 1.223856e-05
174 	 1.194015e-05
175 	 1.181972e-05
176 	 1.147785e-05
177 	 1.179647e-05
178 	 1.277670e-05
179 	 1.388063e-05
180 	 9.318972e-06
181 	 8.582467e-06
182 	 8.804861e-06
183 	 9.108649e-06
184 	 9.109001e-06
185 	 8.693478e-06
186 	 8.485454e-06
187 	 8.368377e-06
188 	 8.298018e-06
189 	 8.345279e-06
190 	 8.392330e-06
191 	 7.774586e-06
192 	 7.505061e-06
193 	 7.508205e-06
194 	 7.330315e-06
195 	 7.356340e-06
196 	 7.083401e-06
197 	 7.403519e-06
198 	 7.396737e-06
199 	 7.285706e-06
200 	 7.566070e-06
201 	 7.464394e-06
202 	 7.547040e-06
203 	 7.587935e-06
204 	 7.522603e-06
205 	 7.552894e-06
206 	 7.496803e-06
207 	 7.478894e-06
208 	 7.503378e-06
209 	 7.517826e-06
210 	 7.462487e-06
211 	 7.505008e-06
212 	 7.263439e-06
213 	 7.129042e-06
214 	 7.089724e-06
215 	 7.080025e-06
216 	 6.733977e-06
217 	 6.687613e-06
218 	 6.614674e-06
219 	 6.576132e-06
220 	 6.353355e-06
221 	 6.235784e-06
222 	 6.266270e-06
223 	 6.519615e-06
224 	 6.495053e-06
225 	 6.548786e-06
226 	 6.528062e-06
227 	 7.503646e-06
228 	 7.345497e-06
229 	 8.363369e-06
230 	 2.845177e-05
231 	 1.403111e-05
232 	 8.051541e-06
233 	 7.827911e-06
234 	 7.769411e-06
235 	 7.891908e-06
236 	 7.651784e-06
237 	 7.819483e-06
238 	 7.266562e-06
239 	 6.792694e-06
240 	 6.907489e-06
241 	 6.470404e-06
242 	 6.116523e-06
243 	 5.965317e-06
244 	 5.938689e-06
245 	 5.851704e-06
246 	 5.816115e-06
247 	 5.636640e-06
248 	 5.570097e-06
249 	 5.469187e-06
250 	 5.420407e-06
251 	 5.567392e-06
252 	 5.276900e-06
253 	 5.116867e-06
254 	 4.727301e-06
255 	 4.827459e-06
256 	 4.203661e-06
257 	 4.647572e-06
258 	 5.508678e-06
259 	 6.294487e-06
260 	 4.861956e-06
261 	 3.689107e-06
262 	 4.745910e-06
263 	 6.268665e-06
264 	 5.825942e-06
265 	 4.702724e-06
266 	 2.738159e-06
267 	 4.980294e-06
268 	 4.960710e-06
269 	 3.571552e-06
270 	 2.828330e-06
271 	 2.331677e-06
272 	 2.185953e-06
273 	 2.951449e-06
274 	 2.774558e-06
275 	 2.868590e-06
276 	 2.725589e-06
277 	 2.686127e-06
278 	 2.632282e-06
279 	 2.797159e-06
280 	 2.715877e-06
281 	 2.082438e-06
282 	 1.597543e-06
283 	 1.359694e-06
284 	 1.632079e-06
285 	 1.612574e-06
286 	 1.670329e-06
287 	 1.328270e-06
288 	 1.176068e-06
289 	 1.756668e-06
290 	 1.024183e-06
291 	 8.854253e-07
292 	 7.681332e-07
293 	 8.303512e-07
294 	 8.290784e-07
295 	 8.210687e-07
296 	 8.111849e-07
297 	 8.100619e-07
298 	 8.079730e-07
299 	 8.170332e-07
300 	 8.378118e-07
301 	 8.154174e-07
302 	 8.151568e-07
303 	 8.207317e-07
304 	 7.882634e-07
305 	 8.285619e-07
306 	 8.366116e-07
307 	 8.205500e-07
308 	 8.928541e-07
309 	 8.045139e-07
310 	 7.482890e-07
311 	 7.210132e-07
312 	 7.057213e-07
313 	 6.835377e-07
314 	 6.702443e-07
315 	 6.641379e-07
316 	 6.624620e-07
317 	 6.713264e-07
318 	 6.721896e-07
319 	 6.729675e-07
320 	 7.722687e-07
321 	 6.702048e-07
322 	 6.636068e-07
323 	 6.612105e-07
324 	 6.596936e-07
325 	 6.570311e-07
326 	 6.706446e-07
327 	 6.852373e-07
328 	 6.831146e-07
329 	 5.965315e-07
330 	 6.471290e-07
331 	 5.714715e-07
332 	 5.436721e-07
333 	 4.873299e-07
334 	 5.032564e-07
335 	 5.059030e-07
336 	 5.098290e-07
337 	 6.877960e-07
338 	 7.116597e-07
339 	 7.999731e-07
340 	 7.649500e-07
341 	 5.041024e-07
342 	 3.796989e-07
343 	 3.376506e-07
344 	 3.464985e-07
345 	 3.446538e-07
346 	 3.590904e-07
347 	 3.705259e-07
348 	 3.696138e-07
349 	 3.692753e-07
350 	 3.597792e-07
351 	 3.631436e-07
352 	 3.552728e-07
353 	 3.549513e-07
354 	 3.539328e-07
355 	 3.526135e-07
356 	 3.514245e-07
357 	 3.480083e-07
358 	 3.480363e-07
359 	 3.470614e-07
360 	 3.462545e-07
361 	 3.464617e-07
362 	 3.427772e-07
363 	 3.396557e-07
364 	 3.548545e-07
365 	 3.331482e-07
366 	 3.304794e-07
367 	 3.314752e-07
368 	 3.344799e-07
369 	 3.676142e-07
370 	 3.454681e-07
371 	 3.427996e-07
372 	 3.298155e-07
373 	 3.280312e-07
374 	 3.273521e-07
375 	 3.244285e-07
376 	 3.719041e-07
377 	 2.978545e-07
378 	 2.943840e-07
379 	 2.185805e-07
380 	 3.044585e-07
381 	 2.895738e-07
382 	 2.881895e-07
383 	 2.956080e-07
384 	 2.869005e-07
385 	 3.166767e-07
386 	 7.578684e-07
387 	 2.399459e-07
388 	 2.183430e-07
389 	 2.071233e-07
390 	 2.012709e-07
391 	 1.969797e-07
392 	 1.923493e-07
393 	 1.922411e-07
394 	 2.021148e-07
395 	 1.895269e-07
396 	 1.844615e-07
397 	 1.836963e-07
398 	 1.831257e-07
399 	 1.820063e-07
400 	 1.804375e-07
401 	 1.795318e-07
402 	 1.807518e-07
403 	 1.762856e-07
404 	 1.753523e-07
405 	 1.738724e-07
406 	 1.751178e-07
407 	 1.788672e-07
408 	 1.765283e-07
409 	 1.769007e-07
410 	 1.761269e-07
411 	 1.727551e-07
412 	 1.728251e-07
413 	 1.767585e-07
414 	 1.762387e-07
415 	 1.758876e-07
416 	 1.749831e-07
417 	 1.788115e-07
418 	 1.919336e-07
419 	 1.600869e-07
420 	 1.663308e-07
421 	 1.636702e-07
422 	 1.645775e-07
423 	 1.683205e-07
424 	 1.952380e-07
425 	 1.368500e-07
426 	 1.306322e-07
427 	 1.276520e-07
428 	 1.306290e-07
429 	 1.275983e-07
430 	 1.396310e-07
431 	 1.442559e-07
432 	 1.446533e-07
433 	 1.361747e-07
434 	 1.400422e-07
435 	 1.425032e-07
436 	 7.804204e-08
437 	 1.054445e-07
438 	 1.064748e-07
439 	 1.060687e-07
440 	 1.122161e-07
441 	 1.171616e-07
442 	 1.162371e-07
443 	 1.013969e-07
444 	 9.326256e-08
445 	 8.245521e-08
446 	 7.783126e-08
447 	 7.574965e-08
448 	 4.771962e-08
449 	 4.890942e-08
450 	 6.736510e-08
451 	 6.912226e-08
452 	 6.740854e-08
453 	 6.495713e-08
454 	 8.045940e-08
455 	 7.996116e-08
456 	 7.806856e-08
457 	 7.319487e-08
458 	 6.617894e-08
459 	 6.424667e-08
460 	 6.488331e-08
461 	 6.656067e-08
462 	 6.346791e-08
463 	 6.365607e-08
464 	 6.276678e-08
465 	 6.309728e-08
466 	 6.422893e-08
467 	 6.381469e-08
468 	 6.057206e-08
469 	 5.874293e-08
470 	 5.686646e-08
471 	 5.670690e-08
472 	 5.841344e-08
473 	 5.779744e-08
474 	 5.790939e-08
475 	 5.705433e-08
476 	 5.532322e-08
477 	 5.256614e-08
478 	 5.285080e-08
479 	 5.272618e-08
480 	 5.245011e-08
481 	 5.260975e-08
482 	 5.036815e-08
483 	 5.015489e-08
484 	 4.833327e-08
485 	 4.818961e-08
486 	 4.705498e-08
487 	 4.522842e-08
488 	 4.498222e-08
489 	 4.573500e-08
490 	 4.551121e-08
491 	 4.546286e-08
492 	 4.411543e-08
493 	 4.431721e-08
494 	 4.390040e-08
495 	 4.989831e-08
496 	 4.223701e-08
497 	 4.213397e-08
498 	 4.516206e-08
499 	 4.098508e-08
