iteration 	 relres
0 	 1.000000e+00
1 	 3.887577e-01
2 	 3.767729e-01
3 	 2.429251e-01
4 	 1.442862e-01
5 	 1.276134e-01
6 	 1.193655e-01
7 	 1.139530e-01
8 	 1.223385e-01
9 	 8.840528e-02
10 	 5.008257e-02
11 	 4.335386e-02
12 	 3.977277e-02
13 	 3.535814e-02
14 	 2.872823e-02
15 	 2.430828e-02
16 	 2.129433e-02
17 	 1.937334e-02
18 	 1.868227e-02
19 	 1.941473e-02
20 	 1.194614e-02
21 	 9.276328e-03
22 	 8.555387e-03
23 	 7.665644e-03
24 	 6.573221e-03
25 	 6.059692e-03
26 	 5.798035e-03
27 	 5.800249e-03
28 	 5.921030e-03
29 	 5.546218e-03
30 	 4.216244e-03
31 	 3.432761e-03
32 	 2.760924e-03
33 	 2.067903e-03
34 	 1.794216e-03
35 	 3.403551e-03
36 	 1.526369e-03
37 	 1.489662e-03
38 	 1.373141e-03
39 	 1.129828e-03
40 	 1.003710e-03
41 	 9.762972e-04
42 	 9.428839e-04
43 	 9.148176e-04
44 	 9.006307e-04
45 	 8.623790e-04
46 	 8.434670e-04
47 	 8.621336e-04
48 	 8.049048e-04
49 	 7.399023e-04
50 	 7.329074e-04
51 	 7.212314e-04
52 	 7.466585e-04
53 	 7.078522e-04
54 	 6.758977e-04
55 	 6.754448e-04
56 	 3.372827e-04
57 	 3.091912e-04
58 	 3.444648e-04
59 	 3.219079e-04
60 	 3.124700e-04
61 	 2.774029e-04
62 	 2.774254e-04
63 	 9.209023e-04
64 	 5.261858e-04
65 	 3.344965e-04
66 	 1.759212e-04
67 	 1.750151e-04
68 	 1.664816e-04
69 	 1.669894e-04
70 	 1.658644e-04
71 	 1.649259e-04
72 	 1.510140e-04
73 	 1.413197e-04
74 	 1.393425e-04
75 	 1.368360e-04
76 	 1.366108e-04
77 	 1.360409e-04
78 	 1.355167e-04
79 	 1.419006e-04
80 	 1.490719e-04
81 	 1.474740e-04
82 	 1.549235e-04
83 	 1.569943e-04
84 	 1.512809e-04
85 	 1.432748e-04
86 	 1.352293e-04
87 	 1.272292e-04
88 	 1.271214e-04
89 	 9.596025e-05
90 	 9.159936e-05
91 	 8.337432e-05
92 	 9.636925e-05
93 	 8.430583e-05
94 	 8.421116e-05
95 	 8.687501e-05
96 	 7.139950e-05
97 	 7.751742e-05
98 	 1.237420e-04
99 	 1.326690e-04
100 	 1.243213e-04
101 	 6.148584e-05
102 	 2.166916e-04
103 	 3.614891e-04
104 	 3.566570e-04
105 	 3.974584e-04
106 	 5.358619e-04
107 	 4.045235e-04
108 	 3.448682e-04
109 	 2.088009e-04
110 	 1.945116e-04
111 	 2.832996e-04
112 	 3.127391e-04
113 	 2.997532e-04
114 	 2.759859e-04
115 	 2.724464e-04
116 	 2.647169e-04
117 	 2.678348e-04
118 	 2.707678e-04
119 	 2.690008e-04
120 	 2.699530e-04
121 	 2.605681e-04
122 	 2.469586e-04
123 	 2.495250e-04
124 	 2.453909e-04
125 	 2.572885e-04
126 	 2.143261e-04
127 	 2.211522e-04
128 	 2.749855e-04
129 	 2.496244e-04
130 	 3.584217e-04
131 	 1.208566e-04
132 	 1.249436e-04
133 	 1.258374e-04
134 	 1.248080e-04
135 	 1.179510e-04
136 	 1.171782e-04
137 	 1.289113e-04
138 	 1.609893e-04
139 	 1.477792e-04
140 	 1.740947e-04
141 	 1.742963e-04
142 	 1.611688e-04
143 	 1.492842e-04
144 	 1.446065e-04
145 	 1.715270e-04
146 	 1.588920e-04
147 	 1.047183e-04
148 	 1.334375e-04
149 	 1.239418e-04
150 	 1.235689e-04
151 	 1.222435e-04
152 	 1.211474e-04
153 	 1.378579e-04
154 	 1.330857e-04
155 	 2.861783e-05
156 	 4.874073e-05
157 	 5.553809e-05
158 	 5.643055e-05
159 	 5.611947e-05
160 	 5.493554e-05
161 	 5.549836e-05
162 	 6.119157e-05
163 	 3.884633e-05
164 	 2.624539e-05
165 	 2.507418e-05
166 	 2.575373e-05
167 	 2.756836e-05
168 	 2.712603e-05
169 	 2.514368e-05
170 	 2.457367e-05
171 	 2.371273e-05
172 	 2.345435e-05
173 	 2.346831e-05
174 	 2.322576e-05
175 	 2.473278e-05
176 	 2.670541e-05
177 	 2.204813e-05
178 	 3.681707e-05
179 	 4.105853e-05
180 	 3.648623e-05
181 	 3.315851e-05
182 	 2.786207e-05
183 	 2.290899e-05
184 	 2.005060e-05
185 	 1.864740e-05
186 	 1.714564e-05
187 	 1.512815e-05
188 	 1.508097e-05
189 	 1.485919e-05
190 	 1.457056e-05
191 	 1.454686e-05
192 	 1.453386e-05
193 	 1.500251e-05
194 	 1.473247e-05
195 	 1.435005e-05
196 	 1.072943e-05
197 	 5.327824e-06
198 	 8.378052e-06
199 	 6.861067e-06
200 	 6.877055e-06
201 	 7.010179e-06
202 	 9.614989e-06
203 	 1.250258e-05
204 	 3.361748e-05
205 	 3.426153e-05
206 	 2.264580e-05
207 	 1.249317e-05
208 	 1.039876e-05
209 	 1.141008e-05
210 	 1.107500e-05
211 	 8.259100e-06
212 	 7.163685e-06
213 	 7.766709e-06
214 	 7.123852e-06
215 	 1.984292e-05
216 	 6.448339e-06
217 	 6.500105e-06
218 	 6.410265e-06
219 	 5.981522e-06
220 	 7.295362e-06
221 	 5.367330e-06
222 	 5.342844e-06
223 	 5.432102e-06
224 	 5.550182e-06
225 	 5.455707e-06
226 	 5.417126e-06
227 	 5.619458e-06
228 	 5.381874e-06
229 	 5.406891e-06
230 	 5.326359e-06
231 	 5.327326e-06
232 	 5.211548e-06
233 	 5.150512e-06
234 	 5.108827e-06
235 	 5.154583e-06
236 	 4.637312e-06
237 	 8.382672e-06
238 	 5.254685e-06
239 	 5.097953e-06
240 	 5.072677e-06
241 	 5.006110e-06
242 	 4.971073e-06
243 	 5.653731e-06
244 	 5.108729e-06
245 	 4.418912e-06
246 	 4.922059e-06
247 	 5.051758e-06
248 	 4.824885e-06
249 	 4.537932e-06
250 	 4.696530e-06
251 	 4.563389e-06
252 	 4.363999e-06
253 	 4.354814e-06
254 	 4.513261e-06
255 	 4.684978e-06
256 	 4.496850e-06
257 	 4.611962e-06
258 	 4.539175e-06
259 	 4.570184e-06
260 	 4.522105e-06
261 	 4.513629e-06
262 	 4.344961e-06
263 	 5.228625e-06
264 	 4.965940e-06
265 	 4.203218e-06
266 	 4.100111e-06
267 	 4.120172e-06
268 	 6.504272e-06
269 	 6.063377e-06
270 	 4.547877e-06
271 	 4.408217e-06
272 	 3.864244e-06
273 	 3.510771e-06
274 	 3.562092e-06
275 	 3.546194e-06
276 	 3.543927e-06
277 	 3.528890e-06
278 	 3.409937e-06
279 	 3.521313e-06
280 	 3.392163e-06
281 	 3.764733e-06
282 	 3.122246e-06
283 	 3.059655e-06
284 	 3.125670e-06
285 	 3.115935e-06
286 	 3.071772e-06
287 	 3.037028e-06
288 	 3.033388e-06
289 	 3.015475e-06
290 	 2.983784e-06
291 	 2.961526e-06
292 	 2.957439e-06
293 	 2.943967e-06
294 	 2.863442e-06
295 	 2.861500e-06
296 	 2.847123e-06
297 	 2.872320e-06
298 	 2.951742e-06
299 	 2.861997e-06
300 	 4.473580e-06
301 	 4.455512e-06
302 	 4.963752e-06
303 	 4.782713e-06
304 	 4.653826e-06
305 	 4.821701e-06
306 	 2.547793e-06
307 	 3.076381e-06
308 	 3.208754e-06
309 	 5.341437e-06
310 	 4.546980e-06
311 	 4.628035e-06
312 	 4.980811e-06
313 	 5.823704e-06
314 	 2.657339e-06
315 	 2.392339e-06
316 	 3.029336e-06
317 	 2.198740e-06
318 	 1.889717e-06
319 	 2.008023e-06
320 	 1.925649e-06
321 	 1.866170e-06
322 	 1.862093e-06
323 	 1.841673e-06
324 	 1.838312e-06
325 	 1.857326e-06
326 	 1.836906e-06
327 	 1.832024e-06
328 	 1.733760e-06
329 	 1.664602e-06
330 	 1.623357e-06
331 	 1.617222e-06
332 	 1.640376e-06
333 	 1.609921e-06
334 	 1.590833e-06
335 	 1.602806e-06
336 	 1.585284e-06
337 	 1.583255e-06
338 	 1.619828e-06
339 	 1.599334e-06
340 	 1.527433e-06
341 	 1.643803e-06
342 	 1.647102e-06
343 	 1.685393e-06
344 	 1.692127e-06
345 	 1.942816e-06
346 	 1.537736e-06
347 	 1.990452e-06
348 	 2.217648e-06
349 	 2.101955e-06
350 	 2.184241e-06
351 	 2.233347e-06
352 	 2.295248e-06
353 	 1.999132e-06
354 	 1.995369e-06
355 	 2.007281e-06
356 	 1.998631e-06
357 	 1.516462e-06
358 	 1.505375e-06
359 	 1.932960e-06
360 	 1.871359e-06
361 	 1.759416e-06
362 	 1.762563e-06
363 	 1.650111e-06
364 	 1.548833e-06
365 	 1.239920e-06
366 	 1.243734e-06
367 	 2.943132e-06
368 	 1.241471e-06
369 	 1.379050e-06
370 	 1.198828e-06
371 	 7.756877e-07
372 	 8.129112e-07
373 	 8.341336e-07
374 	 8.255260e-07
375 	 9.505351e-07
376 	 5.821689e-07
377 	 5.158191e-07
378 	 5.188903e-07
379 	 4.827791e-07
380 	 4.801396e-07
381 	 4.881675e-07
382 	 4.776577e-07
383 	 4.788321e-07
384 	 4.830526e-07
385 	 5.009401e-07
386 	 5.300526e-07
387 	 5.170596e-07
388 	 5.127483e-07
389 	 5.052991e-07
390 	 4.954890e-07
391 	 5.498769e-07
392 	 4.926418e-07
393 	 4.811612e-07
394 	 4.761838e-07
395 	 4.759127e-07
396 	 4.787761e-07
397 	 4.707431e-07
398 	 4.696151e-07
399 	 4.664067e-07
400 	 4.482510e-07
401 	 4.352447e-07
402 	 4.258061e-07
403 	 4.168915e-07
404 	 4.021852e-07
405 	 3.965014e-07
406 	 3.923063e-07
407 	 3.691876e-07
408 	 3.700790e-07
409 	 3.703624e-07
410 	 3.682992e-07
411 	 3.655710e-07
412 	 3.637706e-07
413 	 3.271468e-07
414 	 3.492505e-07
415 	 3.485560e-07
416 	 3.481648e-07
417 	 3.461036e-07
418 	 3.429308e-07
419 	 3.351183e-07
420 	 3.352015e-07
421 	 3.334752e-07
422 	 3.331071e-07
423 	 3.269678e-07
424 	 3.328582e-07
425 	 3.529542e-07
426 	 3.676849e-07
427 	 3.369949e-07
428 	 3.429949e-07
429 	 3.391841e-07
430 	 3.362476e-07
431 	 3.355683e-07
432 	 3.298147e-07
433 	 3.292999e-07
434 	 3.348516e-07
435 	 3.338103e-07
436 	 3.221109e-07
437 	 3.210624e-07
438 	 3.229794e-07
439 	 3.483034e-07
440 	 4.293023e-07
441 	 3.432430e-07
442 	 3.605968e-07
443 	 3.676754e-07
444 	 3.654078e-07
445 	 3.578572e-07
446 	 3.582408e-07
447 	 3.626153e-07
448 	 3.624672e-07
449 	 3.662827e-07
450 	 3.653711e-07
451 	 3.546652e-07
452 	 2.909058e-07
453 	 3.181423e-07
454 	 3.829201e-07
455 	 3.303065e-07
456 	 3.938639e-07
457 	 3.477604e-07
458 	 3.419801e-07
459 	 3.523105e-07
460 	 3.550522e-07
461 	 3.529457e-07
462 	 3.487353e-07
463 	 3.447837e-07
464 	 3.486297e-07
465 	 3.455777e-07
466 	 3.437692e-07
467 	 3.425790e-07
468 	 3.379912e-07
469 	 3.433238e-07
470 	 3.419164e-07
471 	 3.414810e-07
472 	 3.416756e-07
473 	 3.408758e-07
474 	 3.387561e-07
475 	 3.364291e-07
476 	 3.338834e-07
477 	 3.317424e-07
478 	 3.296220e-07
479 	 3.295436e-07
480 	 3.302192e-07
481 	 3.291686e-07
482 	 3.265981e-07
483 	 2.699968e-07
484 	 3.004151e-07
485 	 2.914363e-07
486 	 2.896297e-07
487 	 2.965772e-07
488 	 2.553223e-07
489 	 2.580228e-07
490 	 2.537489e-07
491 	 1.922935e-07
492 	 6.078136e-07
493 	 4.155703e-07
494 	 1.883117e-07
495 	 1.792580e-07
496 	 1.830404e-07
497 	 1.912366e-07
498 	 1.897363e-07
499 	 1.880761e-07
500 	 1.951930e-07
501 	 2.018520e-07
502 	 2.047305e-07
503 	 2.161425e-07
504 	 2.098947e-07
505 	 2.073090e-07
506 	 2.037485e-07
507 	 2.035800e-07
508 	 2.039776e-07
509 	 2.011992e-07
510 	 2.024986e-07
511 	 1.950513e-07
512 	 1.961771e-07
513 	 2.019612e-07
514 	 2.060796e-07
515 	 2.184214e-07
516 	 2.124451e-07
517 	 2.078110e-07
518 	 2.081351e-07
519 	 2.060815e-07
520 	 2.019466e-07
521 	 2.052217e-07
522 	 2.002439e-07
523 	 2.008094e-07
524 	 1.873680e-07
525 	 1.972798e-07
526 	 1.976636e-07
527 	 1.950505e-07
528 	 1.901813e-07
529 	 1.904861e-07
530 	 1.884705e-07
531 	 2.090501e-07
532 	 1.850314e-07
533 	 1.831455e-07
534 	 1.821731e-07
535 	 1.791072e-07
536 	 1.753071e-07
537 	 1.796401e-07
538 	 2.008081e-07
539 	 1.806863e-07
540 	 1.492856e-07
541 	 2.520040e-07
542 	 2.426576e-07
543 	 2.357091e-07
544 	 2.077811e-07
