iteration 	 relres
0 	 1.000000e+00
1 	 3.685733e-01
2 	 2.568936e-01
3 	 1.109791e-01
4 	 7.025584e-02
5 	 8.302824e-02
6 	 2.284705e-02
7 	 1.850284e-02
8 	 1.292458e-02
9 	 8.243934e-03
10 	 4.888611e-03
11 	 3.120124e-03
12 	 2.618433e-03
13 	 2.128578e-03
14 	 1.752292e-03
15 	 1.364961e-03
16 	 1.097000e-03
17 	 1.134717e-03
18 	 7.557756e-04
19 	 7.251327e-04
20 	 6.221937e-04
21 	 5.239621e-04
22 	 1.114133e-03
23 	 1.237708e-03
24 	 2.480192e-04
25 	 2.149923e-04
26 	 1.987168e-04
27 	 1.886574e-04
28 	 2.306154e-04
29 	 9.498886e-05
30 	 8.462665e-05
31 	 7.950816e-05
32 	 6.943453e-05
33 	 1.006589e-04
34 	 8.211601e-05
35 	 6.906266e-05
36 	 2.787017e-05
37 	 2.665920e-05
38 	 2.612500e-05
39 	 2.450343e-05
40 	 2.249121e-05
41 	 4.465047e-05
42 	 3.025267e-05
43 	 3.581331e-05
44 	 4.106244e-05
45 	 5.216850e-05
46 	 4.849138e-05
47 	 4.582197e-05
48 	 4.374318e-05
49 	 4.843884e-05
50 	 4.199545e-05
51 	 3.781757e-05
52 	 6.344834e-05
53 	 3.597941e-05
54 	 2.204893e-05
55 	 1.048401e-05
56 	 8.404842e-06
57 	 8.231736e-06
58 	 7.420070e-06
59 	 8.907904e-06
60 	 6.207706e-06
61 	 6.269188e-06
62 	 7.801748e-06
63 	 3.161658e-05
64 	 6.190850e-06
65 	 4.298158e-06
66 	 4.138207e-06
67 	 4.019640e-06
68 	 3.965357e-06
69 	 4.139815e-06
70 	 3.212521e-06
71 	 2.800926e-06
72 	 2.306807e-06
73 	 2.224528e-06
74 	 2.207287e-06
75 	 2.056044e-06
76 	 2.226911e-06
77 	 1.910787e-06
78 	 1.875927e-06
79 	 1.969623e-06
80 	 1.794926e-06
81 	 1.760381e-06
82 	 1.766204e-06
83 	 1.694886e-06
84 	 1.645525e-06
85 	 2.057997e-06
86 	 2.224516e-06
87 	 2.212942e-06
88 	 1.902716e-06
89 	 1.871707e-06
90 	 1.322452e-06
91 	 1.312046e-06
92 	 1.298416e-06
93 	 7.904704e-07
94 	 9.436456e-07
95 	 9.103224e-07
96 	 8.553985e-07
97 	 8.359806e-07
98 	 8.475312e-07
99 	 7.953220e-07
100 	 8.497689e-07
101 	 8.181270e-07
102 	 8.397739e-07
103 	 5.310256e-07
104 	 7.789341e-07
105 	 6.760579e-07
106 	 4.946365e-07
107 	 4.094171e-07
108 	 3.089524e-07
109 	 3.731594e-07
110 	 3.723929e-07
111 	 4.340915e-07
112 	 5.692446e-07
113 	 3.942427e-07
114 	 3.830056e-07
115 	 3.687567e-07
116 	 3.790561e-07
117 	 3.606015e-07
118 	 3.273549e-07
119 	 3.134226e-07
120 	 3.179717e-07
121 	 2.701828e-07
122 	 2.487667e-07
123 	 2.227832e-07
124 	 2.170886e-07
125 	 2.051229e-07
126 	 1.817810e-07
127 	 1.778009e-07
128 	 1.705028e-07
129 	 1.757803e-07
130 	 1.749779e-07
131 	 1.716661e-07
132 	 1.710049e-07
133 	 1.676254e-07
134 	 1.638768e-07
135 	 1.603552e-07
136 	 1.554177e-07
137 	 1.524558e-07
138 	 1.606548e-07
139 	 1.224362e-07
140 	 1.275714e-07
141 	 9.276111e-08
142 	 8.956887e-08
143 	 8.169118e-08
144 	 6.865185e-08
145 	 6.786142e-08
146 	 6.646351e-08
147 	 6.670691e-08
148 	 6.925876e-08
149 	 7.197747e-08
150 	 7.476819e-08
151 	 7.397512e-08
152 	 8.255565e-08
153 	 7.601447e-08
154 	 6.438257e-08
155 	 6.484344e-08
156 	 5.353287e-08
157 	 5.368200e-08
158 	 5.666923e-08
159 	 4.518050e-08
160 	 4.012502e-08
161 	 4.207187e-08
162 	 4.213334e-08
163 	 3.428027e-08
164 	 3.660408e-08
165 	 3.341284e-08
166 	 3.171462e-08
167 	 3.020817e-08
168 	 2.832533e-08
